driver_gender,driver_sobriety_condition,driver_age,driver_aggressive_driving,vehicle_type,vehicle_year,vehicle_maneuver,road_alignment,road_surface_condition,crash_location,crash_type,traffic_control,season,day_of_week,crash_time,light_condition,weather_condition,area type,INJURY_SEVERITY
Female,Sober,31-40,N,Car,<5 Years,Straight,Straight,Dry,Intersection,Rear End,Uncontrolled,Spring,weekday,Afternoon Peak,Daylight,Clear,Urban,not_serious
Male,Sober,21-25,N,Car,>10 Years,Slowing,Straight,Dry,Not Intersection,Rear End,Uncontrolled,Spring,weekday,Morning Off-Peak,Dawn,Clear,Urban,not_serious
Female,Sober,41-50,N,SUV,5-10 Years,Stopped,Curve,Dry,Intersection,Rear End,Uncontrolled,Summer,weekday,Afternoon Peak,Daylight,Clear,Urban,not_serious
Female,Sober,41-50,N,SUV,<5 Years,Straight,Straight,Dry,Not Intersection,Rear End,Uncontrolled,Spring,weekend,Day Off-Peak,Daylight,Clear,Urban,not_serious
Female,Sober,60+,N,SUV,>10 Years,Stopped,Straight,Wet,Not Intersection,Rear End,Uncontrolled,Spring,weekend,Day Off-Peak,Daylight,Rain,Urban,not_serious
Female,Sober,60+,N,Pickup,<5 Years,Stopped,Straight,Dry,Not Intersection,Rear End,Uncontrolled,Summer,weekday,Morning Off-Peak,Dawn,Clear,Urban,not_serious
Female,Sober,21-25,N,Car,>10 Years,Straight,Straight,Dry,Not Intersection,Other,Uncontrolled,Spring,weekend,Afternoon Peak,Daylight,Clear,Urban,not_serious
Male,Sober,15-20,N,Pickup,>10 Years,Straight,Straight,Wet,Not Intersection,Other,Uncontrolled,Winter,weekday,Morning Off-Peak,Dusk,Rain,Urban,serious
Female,Sober,41-50,N,SUV,5-10 Years,Turning,Curve,Dry,Intersection,Sideswipe,Uncontrolled,Spring,weekday,Day Off-Peak,Daylight,Clear,Urban,not_serious
Female,Sober,51-60,N,SUV,>10 Years,Straight,Straight,Wet,Intersection,Angle,Uncontrolled,Summer,weekday,Night Off-Peak,Dark-Lighted,Clear,Urban,not_serious
Female,Sober,21-25,N,Car,>10 Years,Straight,Curve,Wet,Not Intersection,Rear End,Uncontrolled,Spring,weekday,Morning Off-Peak,Dark-Not Lighted,Rain,Rural,not_serious
Male,Sober,41-50,Y,Car,>10 Years,Straight,Straight,Wet,Intersection,Angle,Uncontrolled,Summer,weekday,Morning Off-Peak,Dawn,Rain,Rural,not_serious
